"","FDT_STA_ID","Year","Sample n","SPG codes","SPG codes First","IR2022 Sample n","IR2024 Sample n","IR2026 Sample n","IR2028 Sample n","IR24Temp","IR24pH","IR24DO","IR24SpC","IR26Temp","IR26pH","IR26DO","IR26SpC","IR28Temp","IR28pH","IR28DO","IR28SpC","flag"
"31","2-IVA012.13",2021,16,"TM | RB","TM",NA,26,26,26,92.3076923076923,92.3076923076923,92.3076923076923,46.1538461538462,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,"FLAG"
"32","2-IVA012.13",2022,10,"TM | RB","TM",NA,26,26,26,92.3076923076923,92.3076923076923,92.3076923076923,46.1538461538462,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,92.3076923076923,"FLAG"
"33","2-JKS000.38",2021,12,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"34","2-JKS000.38",2022,6,"TR","TR",NA,18,18,18,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"35","2-JKS006.67",2021,12,"AW | RB","AW",NA,12,12,12,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"36","2-JKS013.29",2021,12,"AW | RB","AW",NA,12,12,12,100,100,100,50,100,100,100,100,100,100,100,100,"FLAG"
"37","2-JKS015.60",2021,6,"TM","TM",NA,6,6,6,100,33.3333333333333,100,50,100,100,100,100,100,100,100,100,"FLAG"
"38","2-JKS018.68",2021,30,"TM | AW | TR | RB","TM",NA,36,36,36,100,88.8888888888889,100,50,100,100,100,100,100,100,100,100,"FLAG"
"39","2-JKS018.68",2022,6,"TR","TR",NA,36,36,36,100,88.8888888888889,100,50,100,100,100,100,100,100,100,100,"FLAG"
"40","2-JKS021.09",2021,6,"TM","TM",NA,6,6,6,100,33.3333333333333,100,50,100,100,100,100,100,100,100,100,"FLAG"
"41","2-JKS022.15",2021,6,"TM","TM",NA,6,6,6,100,33.3333333333333,100,50,100,100,100,100,100,100,100,100,"FLAG"
"42","2-JKS022.78",2021,6,"TM","TM",NA,6,6,6,100,33.3333333333333,100,50,100,100,100,100,100,100,100,100,"FLAG"
